ID	Rank1	Rank2	Rank3	Rank4	Rank5	Decision
ABBV	0.06265	0.08518	0.15821	0.26467	0.42929	0
ACN	0.08929	0.23939	0.36043	0.25792	0.05297	-0
AEP	0.16726	0.32436	0.33013	0.15452	0.02373	-0
AIZ	0.00146	0.01072	0.10164	0.42639	0.45979	0
ALLE	0.26071	0.42285	0.24639	0.06483	0.00522	0.06888
AMAT	0.05456	0.10016	0.22018	0.33947	0.28563	0
AMP	0.02327	0.18629	0.48256	0.28207	0.02581	0
AMZN	0.00251	0.00797	0.04726	0.22967	0.71259	1E-05
AVB	0.10192	0.45305	0.37075	0.07189	0.00239	-0
AVY	0.41904	0.39359	0.15176	0.03239	0.00322	0.09467
AXP	0.05405	0.16906	0.34145	0.32991	0.10553	0
BDX	0.30437	0.39794	0.22986	0.06169	0.00614	0
BF-B	0.22739	0.46619	0.25721	0.047	0.00221	-0
BMY	0.42315	0.3194	0.16691	0.06642	0.02412	0
BR	0.01664	0.05756	0.21159	0.407	0.30721	-0
CARR	0.12829	0.27423	0.3427	0.21159	0.04319	0.01177
CDW	0.04957	0.31902	0.47104	0.15083	0.00954	0
CE	0.37433	0.34879	0.19426	0.06967	0.01295	0.05189
CHTR	0.52358	0.28956	0.13305	0.04292	0.01089	-0.08636
CNC	0.08988	0.22204	0.34922	0.26545	0.07341	0
CNP	0.25871	0.37754	0.26344	0.08914	0.01117	-0
COP	0.18618	0.36101	0.30969	0.12731	0.01581	-0.19445
CTAS	0.01106	0.05707	0.2534	0.46714	0.21133	0
CZR	0.20198	0.23225	0.26938	0.20996	0.08643	0.01416
DG	0.40095	0.34628	0.17635	0.06163	0.01479	0
DPZ	0.42181	0.32954	0.18652	0.054	0.00813	-0.04087
DRE	0.28314	0.36958	0.24478	0.0883	0.0142	0.01683
DXC	0.37968	0.3034	0.21432	0.0843	0.0183	1E-05
META	0.01183	0.04252	0.20084	0.44571	0.2991	-0
FTV	0.13132	0.36175	0.37118	0.11839	0.01736	-0
GOOG	0.30224	0.35936	0.24686	0.0783	0.01324	0
GPC	0.30358	0.36268	0.23689	0.08095	0.0159	-0
HIG	0.32186	0.41969	0.20577	0.04599	0.00669	0
HST	0.02893	0.08241	0.2573	0.40248	0.22888	0
JPM	0.12149	0.32869	0.36979	0.15843	0.0216	0
KR	0.13037	0.10627	0.19207	0.27558	0.29571	0.00995
OGN	0.07373	0.26934	0.3965	0.21913	0.0413	0.04941
PG	0.32707	0.337	0.2375	0.08335	0.01508	-0
PPL	0.01752	0.01908	0.0628	0.21532	0.68528	0.01204
PRU	0.27086	0.39988	0.25794	0.06547	0.00585	0
PYPL	0.2719	0.35614	0.26407	0.09475	0.01314	-1E-05
RE	0.00623	0.06323	0.3665	0.47595	0.08809	1E-05
ROL	0.39161	0.37527	0.17503	0.05028	0.00781	0
